"id","name","title","location","state","country","state_abbv","continent","latitude","longitude"
"0","JoaoPessoa","Joao Pessoa","Patos","Paraiba","Brazil","PB","2","-7.0833","-34.8333"
"1","Melbourne","Melbourne","Melbourne","Victoria","Australia","VIC","4","-37.7833","144.9667"
"2","Toronto","Toronto","Toronto","Ontario","Canada","ON","1","43.6481","-79.4042"
"3","Prague","Prague","Prague","Prague","Czech Republic","","3","50.0833","14.4167"
"4","Paris","Paris","Paris","Ile-de-France","France","IDF","3","48.8742","2.347"
"6","Tokyo","Tokyo","Tokyo","Tokyo","Japan","","3","35.6833","139.7667"
"7","Amsterdam","Amsterdam","Haarlemmermeer","North Holland","Netherlands","NH","3","52.3","4.7"
"8","Auckland","Auckland","Auckland","Auckland","New Zealand","AUK","4","-36.8404","174.7399"
"9","Moscow","Moscow","Moscow","Moscow","Russia","MOW","3","55.7517","37.6178"
"10","Stockholm","Stockholm","Stockholm","Stockholm","Sweden","","3","59.32","18.09"
"11","London","London","London","England","United Kingdom","ENG","3","51.5171","-0.1062"
"12","Dallas","Dallas","Dallas","Texas","United States","TX","1","32.7828","-96.8039"
"13","NewYork","New York","Garden City","New York","United States","NY","1","40.7269","-73.6497"
"14","Boston","Boston","Somerville","Massachusetts","United States","MA","1","42.3583","-71.0603"
"15","Miami","Miami","Miami","Florida","United States","FL","1","25.765","-80.2"
"16","Washington","Washington","Herndon","Virginia","United States","VA","1","38.9694","-77.3864"
"17","Barcelona","Barcelona","Barcelona","Catalonia","Spain","CT","3","41.3857","2.1699"
"18","Atlanta","Atlanta","Atlanta","Georgia","United States","GA","1","33.7489","-84.3881"
"19","Dublin","Dublin","Dublin","Leinster","Ireland","L","3","53.3478","-6.2597"
"20","Vienna","Vienna","Vienna","Vienna","Austria","","3","48.2088","16.3726"
"21","Brisbane","Brisbane","Brisbane","Queensland","Australia","QLD","4","-27.4667","153.0333"
"22","Chicago","Chicago","Chicago","Illinois","United States","IL","1","41.85","-87.65"
"23","SanJose","San Jose","San Jose","California","United States","CA","1","37.3542","-121.9542"
